Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,1n,C28323
C3,0805,1,100n,C49678
C4,0805,1,10u,C15850
"D1, D2, D3, D4",SOT-23,4,BAS19,C68960
D5,D_SMB,1,P6SMB 7.0CA,C78395
D6,D_SOD-123,1,BAT41,C222251
J1,CONN_2604-1102_WAG,1,2604-1102,
J2,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,Barrel_Jack,
"R1, R2",0805,2,10k,C17414
R3,0805,1,820,C17837
R4,0805,1,200,C17540
R5,0805,1,1k6,C352253
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,4093,C7867
U3,usrtcp232-t2,1,~,
U4,usbpwr,1,~,
