Designator,Mid X,Mid Y,Rotation,Layer
C1,134.6575,-56.515,180.0,bottom
C2,152.715,-52.705,180.0,bottom
C3,152.715,-56.515,180.0,bottom
C4,147.0,-52.705,180.0,bottom
D1,157.48,-38.42,270.0,bottom
D2,151.4325,-38.42,90.0,bottom
D3,151.4325,-43.5,90.0,bottom
D4,157.48,-43.5,270.0,bottom
D5,127.635,-56.76,90.0,bottom
D6,134.3,-64.77,180.0,bottom
J1,165.155001,-43.1,90.0,top
J2,144.805,-39.75,0.0,top
R1,134.6575,-52.705,180.0,bottom
R2,134.6575,-60.325,180.0,bottom
R3,141.285,-52.705,0.0,bottom
R4,141.285,-56.515,180.0,bottom
R5,147.0,-56.515,180.0,bottom
U1,143.825,-62.23,180.0,bottom
U2,153.35,-64.77,0.0,bottom
U3,139.7,-71.12,0.0,top
U4,114.935,-42.545,0.0,top
